,Faculty link
44,https://al01901382.schoolwires.net/site/Default.aspx?PageType=1&SiteID=24&ChannelID=975&DirectoryType=6
45,https://www.lpssonline.com/schools/lafayettehighschool/faculty
46,https://lhs.lanettcityschools.org/schoolstaff
47,https://vhs.chambersk12.org/en-US/staff
48,https://cb.cherokeek12.org/en-US/staff
49,https://ch.cherokeek12.org/en-US/staff
50,https://gs.cherokeek12.org/en-US/staff
51,https://sr.cherokeek12.org/en-US/staff
52,https://sg.cherokeek12.org/en-US/staff
53,https://www.chiltonchristian.com/staff
54,http://chiltoncountyhigh.al.cch.schoolinsites.com/?PageName=%27Teachers%27
55,http://isabellahigh.al.cch.schoolinsites.com/?PageName=%27Teachers%27
56,https://www.huntsvillecityschools.org/schools/jemison-high-school/faculty-and-staff
57,http://maplesvillehigh.al.cch.schoolinsites.com/?PageName=%27Teachers%27
58,http://thorsbyhigh.al.cch.schoolinsites.com/?PageName=%27Teachers%27
59,http://verbenahigh.al.cch.schoolinsites.com/?PageName=%27Teachers%27
60,https://www.choctaw.k12.ms.us/o/choctawsd/staff
61,https://www.clarkecountyschools.org/site/Default.aspx?PageType=1&SiteID=13&ChannelID=260&DirectoryType=6
62,https://www.thomasvilleschools.org/staff
63,https://www.ccca.mobi/
64,https://www.centralhigh-clay.org/en-US/staff
65,https://www.cleburneschools.net/site/default.aspx?PageType=2&PageModuleInstanceID=242&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3ACleburne%20County%20High
66,https://www.cleburneschools.net/site/default.aspx?PageType=2&PageModuleInstanceID=247&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3ARanburne%20High
67,http://elbahigh.al.schoolinsites.com/?PageName=%27Teachers%27
68,https://www.enterpriseschools.net/site/Default.aspx?PageType=1&SiteID=8&ChannelID=289&DirectoryType=6
69,https://kinston.ccs.schoolinsites.com/staff
70,https://brockton.ccs.schoolinsites.com/schoolstaff
71,https://zionchapel.ccs.schoolinsites.com/staff
72,https://ch.cherokeek12.org/en-US/staff
73,https://www.colbertk12.org/domain/73
74,https://www.colbertk12.org/domain/73
75,https://www.tuscumbia.k12.al.us/site/Default.aspx?PageType=1&SiteID=11&ChannelID=1146&DirectoryType=6
76,https://www.colbertcntysd.al.schools.bz/3/staff
77,https://www.tuscumbia.k12.al.us/site/Default.aspx?PageType=1&SiteID=11&ChannelID=1146&DirectoryType=6
78,https://www.mscs.k12.al.us/site/Default.aspx?PageType=1&SiteID=8&ChannelID=506&DirectoryType=6
79,https://www.scs.k12.al.us/domain/74
80,http://hhs.conecuh.k12.al.us/?PageName=%27Teachers%27
81,https://chs.coosaschools.k12.al.us/staffdirectory
82,https://highandalusiaal.schoolinsites.com/staff
83,http://florala.cch.schoolinsites.com/?PageName=%27Teachers%27
84,http://ohs.oppcityschools.com/?PageName=%27Teachers%27
85,http://pleasanthome.cch.schoolinsites.com/?PageName=%27Teachers%27
86,https://rlhs.cov.k12.al.us/schoolstaff
87,http://straughn.cch.schoolinsites.com/?PageName=%27Teachers%27
88,https://al50000748.schoolwires.net//site/default.aspx?PageType=2&PageModuleInstanceID=209&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3ABrantley%20School
89,https://al50000748.schoolwires.net//site/default.aspx?PageType=2&PageModuleInstanceID=314&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3AHighland%20Home%20School
90,https://al50000748.schoolwires.net//site/default.aspx?PageType=2&PageModuleInstanceID=212&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3ALuverne%20School
91,https://cullmanal.sites.thrillshare.com/o/csh/staff
92,https://www.cullmancats.net/site/Default.aspx?PageType=1&SiteID=8&ChannelID=19&DirectoryType=6
93,https://www.fairviewhs.org/staff
94,https://ghh.ccboe.org/o/ghh/staff
95,https://hvh.ccboe.org/o/hvh/staff
96,https://hph.ccboe.org/o/hph/staff
97,https://stbernardprep.com/faculty-and-staff/
98,https://vmh.ccboe.org/o/vmh/staff
99,https://westpoint.tuhsd.org/Our-Staff
100,https://www.ozarkcityschools.net/site/Default.aspx?PageType=1&SiteID=8&ChannelID=149&DirectoryType=6
101,https://dchs.dalecountyboe.org/faculty
102,http://www.hs.daleville.k12.al.us/?PageName=%27Teachers%27
103,https://lhs.dalecountyboe.org/staff
104,https://www.dallask12.org/1/Content2/586
105,https://www.eca-selma.com/staff
106,https://www.dallask12.org/3/Staff
107,https://www.meadowviewchristian.com/contact/
108,https://www.jtmorganacademy.org/administration-faculty-staff
109,https://www.selmacityschools.org/StaffDirectory.aspx
110,https://www.dallask12.org/2/Staff
111,http://collinsvillehighschool.ss18.sharpschool.com/school_links/staff_pages
112,http://crossvillehighschool.ss18.sharpschool.com/
113,https://www.fpcsk12.com/domain/60
114,http://fyffehighschool.ss18.sharpschool.com/
115,http://geraldinehighschool.ss18.sharpschool.com/
116,http://iderhighschool.ss18.sharpschool.com/
117,http://plainviewhighschool.ss18.sharpschool.com/
118,sylvaniahighschool.ss18.sharpschool.com/
119,valleyheadhighschool.ss18.sharpschool.com/faculty_staff/staff/lee_anne_hulgan/contact_me
120,https://www.edgewoodacademy.org/about-us/faculty.cfm
121,https://elmorecounty.ech.schoolinsites.com/faculty
122,https://holtvillehighelmoreal.schoolinsites.com/faculty
123,https://www.mysehs.com/STAFF
124,https://www.gowhs.com/whsfacultyandadmin
125,https://www.tcschools.com/o/tallassee-high-school/staff
126,https://eacougar.com/faculty-staff/
127,http://escambia.al.ech.schoolinsites.com/?PageName=%27Teachers%27
128,http://www.flomatonhs.com/?PageName=%27Teachers%27
129,https://www.brewtoncityschools.org/site/Default.aspx?PageType=1&SiteID=4&ChannelID=40&DirectoryType=6
130,http://w.s.nealhigh.al.ech.schoolinsites.com/?PageName=%27Teachers%27
131,http://www.coosachristian.com/staff
132,http://esms.gcs.k12.al.us/staff_type/staff/
133,https://www.attalla.k12.al.us/site/Default.aspx?PageType=1&SiteID=10&ChannelID=145&DirectoryType=6
134,https://www.gcs.k12.al.us/school-board-menu/central-office-personnel/
135,https://drive.google.com/file/d/1D7bWEdqOB0TJ_7ldljMHbjvjiBzYok5t/view
136,https://gaston.ecboe.org/en-US/staff
137,https://hbhs.ecboe.org/en-US/staff
138,http://lms.gcs.k12.al.us/staff/
139,https://shs.ecboe.org/en-US/staff
140,https://sites.google.com/southsideisd.org/southsidehighschool/staff-directory
141,https://wehs.ecboe.org/en-US/staff
142,https://www.fayette.k12.al.us/site/Default.aspx?PageType=1&SiteID=9&ChannelID=75&DirectoryType=6
143,https://www.fayette.k12.al.us/site/Default.aspx?PageType=1&SiteID=4&ChannelID=37&DirectoryType=6
144,https://www.fayette.k12.al.us/site/Default.aspx?PageType=1&SiteID=13&ChannelID=79&DirectoryType=6
145,https://www.franklin.k12.al.us/domain/156
146,https://www.franklin.k12.al.us/domain/373
147,https://www.franklin.k12.al.us/domain/111
148,https://www.rcs.k12.al.us/site/Default.aspx?PageType=!&SiteID=11&ChannelID=91&DirectoryType=6
149,https://www.franklin.k12.al.us/domain/44
150,https://www.franklin.k12.al.us/domain/161
151,https://al49000004.schoolwires.net/site/Default.aspx?PageType=1&SiteID=10&ChannelID=1441&DirectoryType=6
152,www.geneva.gch.schoolinsites.com/?PageName=%27Teachers%27
153,https://al49000004.schoolwires.net/site/Default.aspx?PageType=1&SiteID=14&ChannelID=1370&DirectoryType=6
154,https://al49000004.schoolwires.net/site/Default.aspx?PageType=1&SiteID=17&ChannelID=1262&DirectoryType=6
155,https://www.greene.k12.al.us/domain/53
156,https://www.halek12.org/domain/53
157,https://acagenerals.org/about-aca/contact-us
158,https://ahs.vpsb.net/192295_2
159,https://www.henrycountyboe.org/Page/242
160,https://www.countyoffice.org/ashford-academy-ashford-al-c04/
161,https://www.hcboe.us/domain/1329
162,https://schools.graniteschools.org/cottonwoodhigh/directory/staff/
163,https://www.dothan.k12.al.us/domain/1307
164,https://www.emmanuelchristian.org/contacts.html
165,https://www.houstonacademy.com/about/faculty/#facStaffTabs|0
166,https://www.hcboe.us/site/Default.aspx?PageType=1&SiteID=12&ChannelID=2455&DirectoryType=6
167,https://www.nmacademy.net/staff
168,https://www.dothan.k12.al.us/domain/1307
169,https://www.providencechristianschool.com/about/staff.cfm
170,https://www.hcboe.us/site/Default.aspx?PageType=1&SiteID=15&ChannelID=2350&DirectoryType=6
171,https://www.hcboe.us/domain/3493
172,https://www.mvcalions.com/faculty-staff
173,https://www.jacksonk12.org/njhsstaff
174,https://www.jacksonk12.org/nsmstaff
175,http://shs.scottsboroschools.net/staff_pages/career_tech
176,https://www.jacksonk12.org/sectionstaff
177,https://www.jacksonk12.org/skylinestaff
178,https://www.jacksonk12.org/woodvillestaff
179,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=11&ChannelID=4714&DirectoryType=6
180,https://www.asfa.k12.al.us/domain/34
181,https://www.altamontschool.org/academics/faculty-and-staff
182,https://lanier.bcss.schoolinsites.com/schoolstaff
183,https://www.jefcoed.com/domain/1840
184,https://www.jefcoed.com/domain/1841
185,https://www.jefcoed.com/domain/1842
186,http://ensleyhighschool.org/
187,https://www.fairfieldschoolsystem.com/o/fhps/staff
188,https://www.jefcoed.com/domain/1843
189,https://www.jefcoed.com/Page/2467
190,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=8&ChannelID=1408&DirectoryType=6
191,https://www.trussvillecityschools.com/domain/961
192,https://www.homewood.k12.al.us/domain/39
193,https://www.hoovercityschools.net/domain/1554
194,https://www.jefcoed.com/domain/1845
195,https://www.bhamcityschools.org/domain/8109
196,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=10&ChannelID=469&DirectoryType=6
197,https://www.jefcoed.com/domain/1880
198,https://www.jcchs.org/apps/staff/
199,https://www.leedsk12.org/domain/86
200,https://www.jefcoed.com/Page/2471
201,https://www.midfield.k12.al.us/Page/255
202,https://www.jefcoed.com/domain/1847
203,https://www.jefcoed.com/domain/1848
204,https://www.mtnbrook.k12.al.us/site/Default.aspx?PageType=1&SiteID=13&ChannelID=373&DirectoryType=6
205,https://www.jefcoed.com/domain/1849
206,https://www.jefcoed.com/domain/1850
207,http://pghs.egusd.net/cms/One.aspx?portalId=187488&pageId=433608
208,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=12&ChannelID=463&DirectoryType=6
209,https://www.jefcoed.com/domain/1852
210,https://www.tabernaclechristian.org/administration-and-school-staff/
211,https://www.tarrant.k12.al.us/site/Default.aspx?PageType=1&SiteID=8&ChannelID=28&DirectoryType=6
212,https://www.vestavia.k12.al.us/site/Default.aspx?PageType=1&SiteID=4&ChannelID=571&DirectoryType=6
213,https://www.bhamcityschools.org/domain/8296
214,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=57&ChannelID=611&DirectoryType=6
215,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=14&ChannelID=563&DirectoryType=6
216,https://lchs.lamar.k12.ga.us/cms/One.aspx?portalId=220610&pageId=220639
217,https://www.lamarcountyk12.com/domain/2133
218,https://www.lamarcountyk12.com/domain/2115
219,https://www.lamarcountyk12.com/Sulligent
220,https://www.lcschools.org/domain/100
221,https://www.lcschools.org/domain/164
222,https://www.lcschools.org/domain/196
223,https://www.florencek12.org/domain/1447
224,https://www.lcschools.org/domain/100
225,https://www.lexingtonma.org/lhs/about/staff-directory/
226,https://www.mhbs.org/faculty-staff-directory-a-k
227,https://www.shoalschristian.org/about/faculty.cfm
228,https://www.lcschools.org/domain/1236
229,https://www.wcusd5.net/o/waterloo-high-school/staff
230,https://al02210053.schoolwires.net/domain/1156
231,https://www.lawrenceal.org/domain/2001
232,https://www.lawrenceal.org/site/Default.aspx?PageType=1&SiteID=15&ChannelID=1804&DirectoryType=6
233,https://www.lawrenceal.org/domain/1352
234,https://www.auburnschools.org/domain/1531
235,https://www.lee.k12.al.us/site/Default.aspx?PageType=1&SiteID=9&ChannelID=82&DirectoryType=6
236,https://www.lee.k12.al.us/site/Default.aspx?PageType=1&SiteID=14&ChannelID=85&DirectoryType=6
237,https://ohs.opelikaschools.org/our_staff/staff_directory
238,https://www.lee.k12.al.us/site/Default.aspx?PageType=1&SiteID=17&ChannelID=89&DirectoryType=6
239,https://www.lee.k12.al.us/site/Default.aspx?PageType=1&SiteID=11&ChannelID=98&DirectoryType=6
240,https://www.theclio.com/entry/16582
241,https://www.calhoun.lowndesboe.org/school_staff.aspx?action=search&location=8&department=0&schoolid=8
242,https://www.lowndesboe.org/school_staff.aspx?action=search&location=1&department=0&schoolid=1
243,http://www.lowndesacademy.org/about/faculty-and-staff/
244,https://www.maconk12.org/Booker/Classes/
245,https://www.maconk12.org/Notasulga/
246,https://www.mcssk12.org/domain/630
247,https://www.madisoncity.k12.al.us/site/Default.aspx?PageType=1&SiteID=8&ChannelID=251&DirectoryType=6
248,https://www.huntsvillecityschools.org/schools/columbia-high-school
249,https://www.mcssk12.org/domain/649
250,https://www.huntsvillecityschools.org/schools/huntsville-high-school/contact-us
251,https://www.publicschoolreview.com/jo-johnson-high-school-profile
252,https://www.madisoncity.k12.al.us/domain/285
253,https://www.huntsvillecityschools.org/schools/jemison-high-school/contact-us
254,https://www.huntsvillecityschools.org/schools/lee-high-school/contact-us
255,https://www.mcssk12.org/domain/627
256,https://www.huntsvillecityschools.org/schools/new-century-technology-high-school/contact-us
257,https://www.mcssk12.org/domain/603
258,https://oakwoodadventistacademy.org/contacts/
259,https://www.jp2falcons.org/about-jpii/faculty.cfm
260,https://www.randolphschool.net/about/faculty/
261,https://m.facebook.com/pages/category/High-School/SR-Butler-High-School-Huntsville-Al-159819687402271/
262,https://www.mcssk12.org/domain/588
263,https://www.huntsvillecityschools.org/schools/grissom-high-school/contact-us
264,https://aljhsmarengoal.schoolinsites.com/contact
265,https://dhs.dcsedu.com/apps/pages/index.jsp?uREC_ID=1018391&type=d&pREC_ID=staff
266,https://www.google.com/amp/s/www.tuscaloosanews.com/article/20140425/News/605149131%3ftemplate=ampart
267,http://lindencity.schooldesk.net/
268,https://mhsmarengoal.schoolinsites.com/staff-directory
269,https://mhsmarengoal.schoolinsites.com/staff-directory
270,https://swhsmarengoal.schoolinsites.com/contact
271,https://www.mcbe.net/districtBoardEd.aspx
272,https://www.mcbe.net/districtBoardEd.aspx
273,https://www.mcbe.net/districtBoardEd.aspx
274,https://www.mcbe.net/districtBoardEd.aspx
275,https://www.mcbe.net/districtBoardEd.aspx
276,http://www.winfield.k12.al.us/o/whs/page/office-staff
277,https://ahs.albertk12.org/m/staff/index.jsp
278,https://www.arabcityschools.org/Page/50
279,http://asburyhigh.marshallk12.org/staff
280,https://www.boazk12.org/site/Default.aspx?PageType=1&SiteID=12&ChannelID=63&DirectoryType=6
281,http://brindleemountainhigh.marshallk12.org/staff
282,http://douglashigh.marshallk12.org/staff
283,https://www.guntersvilleboe.com/site/Default.aspx?PageType=1&SiteID=49&ChannelID=58&DirectoryType=6
284,https://kdsdar.org/kds-contact-us/
285,https://www.asms.net/about/boards
286,https://www.almabryanths.com/faculty
287,https://bcrainmcpssal.schoolinsites.com/staff
288,https://www.bakerhighschool.com/staff
289,https://www.citronellewildcats.com/staff
290,https://www.wpdavidson.org/staff
291,https://www.faithacademy.us/contact-us/
292,https://www.mcpss.com/directory
293,https://www.mgmvikings.com/staff
294,https://blountmcpssal.schoolinsites.com/staff
295,https://www.mcgill-toolen.org/apps/staff/index.jsp
296,https://www.mhspanthers.com/staff
297,https://www.stpaulsmobile.net/directory
298,https://www.saralandboe.org/site/Default.aspx?PageType=1&SiteID=11&ChannelID=44&DirectoryType=6
299,https://www.satsumaschools.com/domain/1204
300,https://theodoremcpssal.schoolinsites.com/staff
301,https://www.ums-wright.org/page.aspx?pid=469
302,https://www.vigorhighschool.com/staff
303,https://williamsonmcpssal.schoolinsites.com/staff
304,http://eps.monroe.k12.al.us/staff_directory
305,https://www.publicschoolreview.com/frisco-city-high-school-profile
306,http://jfs.monroe.k12.al.us/staff_directory
307,http://jub.monroe.k12.al.us/staff_directory
308,http://www.monroeacademy.org/?PageName=%27Teachers%27
309,http://mhs.monroe.k12.al.us/staff_directory
310,https://www.monroeisd.us/district/administration/
311,https://www.alabamachristian.org/people/
312,https://www.mps.k12.al.us/domain/270
313,https://www.mps.k12.al.us/site/Default.aspx?PageType=19&DomainID=0
314,https://www.bhamcityschools.org/site/Default.aspx?PageType=1&SiteID=8&ChannelID=1408&DirectoryType=6
315,https://www.mps.k12.al.us/domain/1032
316,https://www.mps.k12.al.us/site/Default.aspx?PageType=19&DomainID=0
317,https://www.montgomeryacademy.org/about-ma/faculty-staff-directory
318,https://montgomerycatholic.org/staff/
319,https://www.mps.k12.al.us/ParkCrsgHS
320,https://www.mps.k12.al.us/LeeHS
321,https://stjweb.org/academics/high-school/faculty-staff/
322,https://www.montgomeryadvertiser.com/picture-gallery/news/2019/10/15/look-st-jude-educational-institute-through-years/3979069002/
323,https://www.mps.k12.al.us/domain/780
324,https://www.trinitywildcats.com/about/faculty-staff-directory
325,https://www.morgank12.org/domain/1483
326,https://ahs.dcs.edu/o/ahs/staff
327,https://www.morgank12.org/domain/2047
328,https://www.dhca.org/facultystaff/
329,https://dhs.dcs.edu/o/dhs/staff
330,https://www.morgank12.org/domain/1818
331,https://www.hartselletigers.org/domain/3100
332,https://www.morgank12.org/domain/1659
333,https://www.morgank12.org/domain/2113
334,https://fmhs.perrycountyal.org/staff
335,https://rch.perccycountyal.org/staff
336,https://www.marion-academy.com/contact-us
337,https://www.alicevillehigh.net
338,https://www.gordohigh.net
339,pickensacademy.org
340,https://www.pickenscountyhigh.net
341,https://www.troycityschools.net/chhs
342,https://www.goshenhs.com/staffdirectory
343,https://www.pikecountyhs.com/staffdirectory
344,https://www/roanokecityschools.org/domain/29
345,https://rchs.randolphboe.org/apps/staff/
346,https://wadleyhs.randolph.k12.al.us
347,https://woodlandshs.randolph.k12.al.us
348,https://www.pcboe.net/domain/56
349,https://www.myrcsd.org/domain/302
350,https://www.sccboe.org/domain/208
351,https://www.sccboe.org/Page/23
352,https://www.pellcityschools.net/en-US/staff
353,https://www.sccboe.org/domain/270
354,https://www.sccboe.org/Page/31
355,https://www.sccboe.org/Domain/23
356,https://www.victorylions.com
357,https://www.briarwoodchristianschool.org
358,https://www.shelbyed.k12.al.us/schools/cahs/faculty.html
359,https://www.shelbyed.k12.al.us/schools/chhs/faculty.html
360,https://www.coosavalleycademy.org/contact-us8660130c
361,https://www.evangelhomeschool.org/contact.html
362,https://www.shelbyed.k12.al.us/schools/hhs/faculty.html
363,https://www.indiansprings.org
364,https://www.shelbyed.k12.al.us/schools/omhs/faculty.html
365,https://www.phs.pelhamcityschools.org/pelham_high_school_staff_directory
366,https://www.shelbyed.k12.al.us/schools/schs/faculty.html
367,https://www.hoovercityschools.net/domain/1060
368,https://www/acsboe.org/domain/196
369,https://www.shelbyed.k12.al.us/schools/vmhs/faculty.html
370,http://sumtercentralhigh.al.schoolinsites.com/?PageName=%27Teachers%27
371,https://www.tcboe.org/domain/1121
372,https://www.tcboe.org/site/Default.aspx?PageType=1&SiteID=23&ChannelID=1153&DirectoryType=6
373,https://www.tcboe.org/domain/1171
374,https://www.tcboe.org/site/Default.aspx?PageType=1&SiteID=18&ChannelID=1189&DirectoryType=6
375,https://www.scsboe.org/domain/143
376,https://www.talladegahigh.net/apps/staff/
377,https://www.tcboe.org/domain/1238
378,https://www.tcboe.org/domain/1230
379,https://brhs.alexcityschools.net/schoolstaff
380,http://hsbschools.sharpschool.net/staff_directory
381,https://www.tallapoosak12.org/domain/240
382,https://www.tallapoosak12.org/domain/190
383,https://www.acacademy.com/about/staff.cfm
384,https://www.tcss.net/site/Default.aspx?PageType=1&SiteID=10&ChannelID=94&DirectoryType=6
385,https://chs.coosaschools.k12.al.us/staffdirectory
386,https://hillcrest.bhsd228.com/staff_directory
387,https://www.tcss.net/site/Default.aspx?PageType=1&SiteID=25&ChannelID=1898&DirectoryType=6
388,https://www.tuscaloosacityschools.com/nhs
389,https://www.tcss.net/site/Default.aspx?PageType=1&SiteID=32&ChannelID=272&DirectoryType=6
390,https://www.tuscaloosacityschools.com/pwbhs
391,https://www.tcss.net/site/Default.aspx?PageType=1&SiteID=34&ChannelID=274&DirectoryType=6
392,https://www.tcss.net/site/Default.aspx?PageType=1&SiteID=38&ChannelID=278&DirectoryType=6
393,https://www.walkercountyschools.com/domain/2842
394,https://www.walkercountyschools.com/domain/119
395,https://www.walkercountyschools.com/domain/3073
396,https://www.walkercountyschools.com/domain/2270
397,https://www.walkercountyschools.com/domain/2199
398,https://www.manateeschools.net/domain/3035
399,https://sumitonchristian.org/directory.php
400,https://www.jasper.k12.al.us/school_staff.aspx?action=search&location=1&department=0&schoolid=1
401,https://www.wcbek12.org/domain/29
402,https://www.leroyk12.org/contact-us/jr-sr-high-staff
403,https://www.wcbek12.org/domain/29
404,https://www.wcbek12.org/domain/29
405,https://www.wcbek12.org/domain/29
406,https://www.wilcoxacademy.com/facultystaff
407,https://www.wilcox.k12.al.us/o/wchs/staff
408,https://www.winstonk12.org/school_staff.aspx?action=search&location=2&department=0&schoolid=2
409,https://sites.google.com/hcspride.com/haleyville-high-school/faculty-staff?authuser=0
410,https://www.winstonk12.org/school_staff.aspx?action=search&location=4&department=0&schoolid=4
411,https://www.winstonk12.org/school_staff.aspx?action=search&location=6&department=0&schoolid=6
412,https://www.winstonk12.org/school_staff.aspx?action=search&location=9&department=0&schoolid=9
413,https://www.asdk12.org/domain/1423
414,https://www.asdk12.org/domain/4312
415,https://www.asdk12.org/domain/1441
416,https://www.asdk12.org/domain/1442
417,https://www.asdk12.org/domain/1444
418,https://www.asdk12.org/domain/1481
419,https://www.asdk12.org/domain/1493
420,https://www.k12northstar.org/Page/3292
421,https://hs.hbsd.net/en-US/staff
422,https://www.asdk12.org/domain/1680
423,https://www.asdk12.org/domain/1482
424,https://www.k12northstar.org/Page/3297
425,https://www.k12northstar.org/Page/3286
426,https://www.k12northstar.org/Page/3288
427,https://jdhs.juneauschools.org/en-US/staff
428,https://ydhs.juneauschools.org/en-US/staff
429,https://tmhs.juneauschools.org/en-US/staff
430,https://www.kgbsd.org/site/Default.aspx?PageType=1&SiteID=81&ChannelID=158&DirectoryType=6
431,https://www.matsuk12.us/domain/2496
432,https://www.matsuk12.us/Page/31532
433,https://www.matsuk12.us/domain/2971
434,https://www.matsuk12.us/domain/3084
435,https://www.matsuk12.us/domain/3233
436,https://www.matsuk12.us/domain/3006
437,https://www.nwarctic.org/site/Default.aspx?PageType=1&SiteID=13&ChannelID=65&DirectoryType=6
438,https://www.ccsd.k12.ak.us/domain/1177
439,https://www.sitkaschools.org/domain/555
440,https://www.skagwayschool.org/en-US/staff
441,https://www.sitkaschools.org/domain/559
442,https://www.aebsd.org/staff
443,https://www.aebsd.org/staff
444,https://www.aebsd.org/staff
445,https://www.aebsd.org/staff
446,https://www.aebsd.org/staff
447,https://www.aleutregion.org/adak_school_contacts
448,https://www.aleutregion.org/yakov_e_netsvetov_school_contacts
449,https://www.asdk12.org/domain/5726
450,https://www.asdk12.org/domain/1669
451,https://www.asdk12.org/domain/1423
452,https://www.asdk12.org/domain/1670
453,https://www.asdk12.org/domain/4312
454,https://www.asdk12.org/domain/1670
455,https://www.asdk12.org/domain/1441
456,https://www.asdk12.org/domain/1442
457,https://www.asdk12.org/domain/1444
458,https://www.asdk12.org/domain/1672
459,https://frontiercs.org/contact-us/
460,https://www.asdk12.org/domain/1674
461,https://www.asdk12.org/domain/1676
462,https://www.asdk12.org/domain/5797
463,https://www.asdk12.org/domain/1680
464,https://www.asdk12.org/domain/1481
465,https://www.asdk12.org/domain/1482
466,https://www.asdk12.org/domain/1682
467,https://www.asdk12.org/page/6703
468,https://www.asdk12.org/domain/1493
469,https://www.asdk12.org/domain/1683
470,https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/57090
471,https://www.ajaak.com/about/faculty-and-staff
472,https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/57170
473,https://www.countyoffice.org/atheneum-school-anchorage-ak-737/
474,https://www.acsedu.org/faculty/
475,https://www.birchwoodchristianschool.org/faculty-staff
476,http://www.alaska.net/~eaglecst/FYI.html
477,https://www.gracechristianalaska.org/faculty/
478,https://www.heritagechristian.net/academics/teachers
479,https://www.hraak.org/academics/faculty-directory
480,https://www.igradalaska.org/mentors/
481,https://www.ideafamilies.org/contact-us/
482,https://www.lumenchristiak.com/about/faculty-staff/
483,https://education.alaska.gov/DOE_Rolodex/SchoolCalendar/Home/SchoolDetails/57150
484,https://www.pacificnorthern.org/home/meet-the-team/
485,https://akiuk.lksd.org/staff_directory
486,https://akula.lksd.org/staff_directory
487,https://www.kuspuk.org/domain/58
488,https://nunapitchuk.lksd.org/staff_directory
489,https://newtok.lksd.org/staff_directory
490,https://chefornak.lksd.org/staff_directory
491,https://kipnuk.lksd.org/staff_directory
492,https://www.kuspuk.org/domain/58
493,http://www.localschooldirectory.com/public-school/1540/AK
494,https://eek.lksd.org/staff_directory
495,https://atmautluak.lksd.org/staff_directory
496,https://kwethluk.lksd.org/staff_directory
497,https://quinhagak.lksd.org/staff_directory
